,mpi,mt,num_nodes,num_processes_per_node,num_threads_per_process,sd,time
98,1.0,1.0,2.0,5.0,2.0,0.2399195685235184,9.786729105003179
99,1.0,1.0,2.0,5.0,3.0,0.1420434197478891,9.810528667457401
100,1.0,1.0,2.0,5.0,4.0,0.17812296281184267,10.05362101830542
101,1.0,1.0,2.0,5.0,5.0,0.13168433626857082,10.085291804373265
102,1.0,1.0,2.0,5.0,6.0,0.14559029617147282,10.461213337816298
103,1.0,1.0,2.0,5.0,7.0,0.18891952536317957,10.840229724720121
104,1.0,1.0,2.0,5.0,8.0,0.21752294435328914,10.567132746987046
105,1.0,1.0,2.0,6.0,1.0,0.056450393164551894,12.275296780839563
106,1.0,1.0,2.0,6.0,2.0,0.37093914182250914,10.285200836695731
107,1.0,1.0,2.0,6.0,3.0,0.2250859943162934,10.175967047736048
108,1.0,1.0,2.0,6.0,4.0,0.1804559592874333,10.263951091840863
109,1.0,1.0,2.0,6.0,5.0,0.13385714774753546,10.547840861231089
110,1.0,1.0,2.0,6.0,6.0,0.17765899241564184,10.66050492208451
111,1.0,1.0,2.0,6.0,7.0,0.4722654285097023,11.052504491992295
112,1.0,1.0,2.0,6.0,8.0,0.30059607475649947,11.494320564344525
113,1.0,1.0,2.0,7.0,1.0,0.12919524013958225,10.869095494411885
114,1.0,1.0,2.0,7.0,2.0,0.2405021352414447,10.189751394838094
115,1.0,1.0,2.0,7.0,3.0,0.16029045614613535,10.404211650043726
116,1.0,1.0,2.0,7.0,4.0,0.24835463595473556,10.619192028231918
117,1.0,1.0,2.0,7.0,5.0,0.09139763972933275,10.82521249949932
118,1.0,1.0,2.0,7.0,6.0,0.1396180548545505,10.897625990398229
119,1.0,1.0,2.0,7.0,7.0,0.18914798439947678,11.511525298468769
120,1.0,1.0,2.0,7.0,8.0,0.16906249368297838,12.274179564975203
121,1.0,1.0,2.0,8.0,1.0,0.20044294551304334,9.911019637994468
122,1.0,1.0,2.0,8.0,2.0,0.2172719727963245,10.699171474203467
123,1.0,1.0,2.0,8.0,3.0,0.2072602317690979,10.475880484841763
124,1.0,1.0,2.0,8.0,4.0,0.11201794720560884,10.903247697837651
125,1.0,1.0,2.0,8.0,5.0,0.18041099634065375,11.100734953023494
126,1.0,1.0,2.0,8.0,6.0,0.14650238679321193,11.579820695519448
127,1.0,1.0,2.0,8.0,7.0,0.10223176516932696,12.220085190609097
128,1.0,1.0,2.0,8.0,8.0,0.21000679225455002,12.684544244594871
129,1.0,1.0,3.0,1.0,1.0,0.025955008947772463,42.15515982583165
130,1.0,1.0,3.0,1.0,2.0,0.05890046002400548,22.13755380231887
131,1.0,1.0,3.0,1.0,3.0,0.020485395856470013,15.396507173590361
132,1.0,1.0,3.0,1.0,4.0,0.03383522922592699,12.07590708490461
133,1.0,1.0,3.0,1.0,5.0,0.018050484963914506,10.071507380902768
134,1.0,1.0,3.0,1.0,6.0,0.04377236806177377,8.789988495595754
135,1.0,1.0,3.0,1.0,7.0,0.02413743987684424,7.859075005166233
136,1.0,1.0,3.0,1.0,8.0,0.013787088814466069,7.215277455188334
137,1.0,1.0,3.0,2.0,1.0,0.050544655100434835,22.197371287085115
138,1.0,1.0,3.0,2.0,2.0,0.10516627834076914,12.184352555312216
139,1.0,1.0,3.0,2.0,3.0,0.0902816049213935,8.81720121204853
140,1.0,1.0,3.0,2.0,4.0,0.0647742110219315,7.151459670998156
141,1.0,1.0,3.0,2.0,5.0,0.02067154617443874,7.22359463982284
142,1.0,1.0,3.0,2.0,6.0,0.06376781246056498,7.2073502538725736
143,1.0,1.0,3.0,2.0,7.0,0.13237597061736833,7.404238153807819
144,1.0,1.0,3.0,2.0,8.0,0.0525202431108363,7.42799140047282
145,1.0,1.0,3.0,3.0,1.0,0.14047557104760364,15.692688780091704
146,1.0,1.0,3.0,3.0,2.0,0.09328212673028367,8.952130406349898
147,1.0,1.0,3.0,3.0,3.0,0.06994580148789141,7.248172926157713
148,1.0,1.0,3.0,3.0,4.0,0.07327942239739886,7.3465344091877345
149,1.0,1.0,3.0,3.0,5.0,0.11576098590541,7.520736914873123
150,1.0,1.0,3.0,3.0,6.0,0.10303158390980846,7.517289683409035
